,File name,Latency,ECl,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20
38,23o13017.abf,4.6,-63.06556406516429,-104.25902557373047,-74.30907440185547,-83.88915252685547,-48.995361328125,-44.790035247802734,-47.977291107177734,-33.56201171875,-19.652097702026367,-11.849364280700684,18.778076171875,37.266841888427734,60.55785369873047,96.358642578125,88.23974609375,64.031982421875,70.78240966796875,54.229736328125,
39,23o13022.abf,4.1,-72.98863723186007,-55.419921875,-25.01953125,-34.345699310302734,-23.123779296875,-18.461912155151367,-11.359861373901367,-7.087401866912842,10.531005859375,21.524656295776367,41.61986541748047,38.452144622802734,72.440185546875,68.31175994873047,84.033203125,97.44873046875,70.69943237304688,79.354248046875,65.479736328125
40,23o13027.abf,4.2,-86.99794046688261,-40.294185638427734,-28.515625,-21.342771530151367,-10.321044921875,6.868895530700684,10.915526390075684,14.305418968200684,23.886714935302734,30.261228561401367,44.59227752685547,56.47582244873047,59.307857513427734,87.55492401123047,75.72998046875,71.2548828125,81.08404541015625,61.51611328125,-57.064208984375
41,23o13031.abf,4.0,-62.98211541148526,-196.97874450683594,-142.44871520996094,-128.80735778808594,-128.878173828125,-87.16674041748047,-71.33055114746094,-64.339599609375,-33.145748138427734,-17.62939453125,26.053466796875,49.64232635498047,54.467803955078125,88.485107421875,109.879150390625,101.29150390625,132.63671875,80.46380615234375,77.1728515625
42,23o13037.abf,4.4,-76.24619426427199,-62.575679779052734,-37.387691497802734,-30.137939453125,-28.765867233276367,-20.181882858276367,-13.244627952575684,4.396972179412842,13.798827171325684,24.580076217651367,33.050537109375,53.95018768310547,52.104488372802734,73.78783416748047,,,,,
43,23o13042.abf,3.6,-63.711989245110196,-132.99560546875,-100.92772674560547,-96.85789489746094,-84.73632049560547,-72.51708221435547,-46.966548919677734,-27.789302825927734,-21.13524627685547,-11.23046875,32.36570739746094,41.77978515625,67.88699340820312,76.14013671875,79.68865966796875,58.1495361328125,69.29443359375,66.9896240234375,56.20361328125
44,23o13047.abf,3.7,-62.96690494779669,-119.44823455810547,-88.16527557373047,-79.12841033935547,-46.35619354248047,-52.012939453125,-46.627193450927734,-42.210689544677734,-29.683834075927734,-10.003661155700684,14.598388671875,26.618648529052734,70.37596130371094,91.63451385498047,55.68849182128906,47.943115234375,51.49658203125,36.95306396484375,46.082763671875
45,23o13054.abf,4.1,-71.54608335851523,-207.65866088867188,-189.76315307617188,-136.75657653808594,-110.61399841308594,-76.175537109375,-67.398681640625,-32.42431640625,14.514159202575684,42.343746185302734,91.44286346435547,152.75999450683594,168.587646484375,197.50979614257812,155.90325927734375,,,,
46,23o13059.abf,4.5,-77.55831188080194,-36.58812713623047,-47.6220703125,-20.288082122802734,-23.963619232177734,-12.87841796875,-7.6416015625,8.006591796875,16.728513717651367,33.839107513427734,38.321529388427734,52.01903533935547,72.78319549560547,82.40477752685547,,,,,
47,23o16005.abf,4.1,-58.345007881688254,-109.73509979248047,-88.22509002685547,-71.51609802246094,-68.177490234375,-60.683589935302734,-47.424312591552734,-37.192378997802734,-20.278318405151367,-19.979246139526367,-16.151121139526367,32.644039154052734,107.64525604248047,76.88231658935547,,,,,
